公司名,地址,固定电话,主营产品,客户,手机号,公司网站,公司简介,电子邮箱,经营模式,企业类型,城市,公司规模,注册资本,详细信息,来源网站,记录时间,_url
厦门良厦贸易有限公司,厦门 湖里区林后社677号 - ,0592-5783587,"美国PTI粉尘 , 日本JIS粉尘 , DMT , AATCC , SDC , JAMESH 测试用品 ",石进良,15396145919,,,2450467437qq@126.com,,,,,,"法人名称：厦门良厦贸易有限公司主要经营产品：美国PTI粉尘 , 日本JIS粉尘 , DMT , AATCC , SDC , JAMESH 测试用品 经营状态：在业所属分类：其他行业专用设备公司所属城市：厦门企业网顺企编码：93080907商铺：http://93080907.b2b.11467.com/",,,https://www.11467.com/qiye/93080907.htm
常州帝日纺织科技有限公司,常州 常州新北区太湖路8幢乙单元101室,0519-85875578,"防水防油剂 , 织物阻燃剂 , 三防整理剂 , 抗紫外线剂 , 吸湿排汗剂 , 抗静电剂 , 免烫整理剂 , 易去污 , 纺织助剂 ",黄女士,13775239393,,,dirikeji@126.com,在业,,,,51万元 (万元),"法人名称：常州帝日纺织科技有限公司主要经营产品：防水防油剂 , 织物阻燃剂 , 三防整理剂 , 抗紫外线剂 , 吸湿排汗剂 , 抗静电剂 , 免烫整理剂 , 易去污 , 纺织助剂 经营范围：纺织技术的开发、技术服务；化工原料及产品（除危险品）、针纺织品、服装及辅料、机械配件、汽摩配件、金属材料、仪器仪表、电子产品、电脑及配件、机电设备、建筑材料、五金、交电、日用百货、塑料制品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：320407000129286发证机关：常州国家高新区（新北区）市场监督管理局核准日期：2010-01-06经营期限：10年经营状态：在业经营模式：生产厂家成立时间：2010年01月06日职员人数：31人注册资本：51万元 (万元)公司官网：http://www.dirikeji.com所属分类：其他纺织染整助剂公司所属城市：常州企业网 新北区 类型：有限责任公司顺企编码：19806211商铺：http://changzhou0156109.11467.com/",,,https://www.11467.com/changzhou/co/156109.htm
芜湖富春染织股份有限公司,安徽省芜湖市鸠江区龙山街道九华北路3号,0553-5313298,"全棉筒子色纱 , 丝光棉 , 合股棉纱 , 染纱厂 , 双股棉纱 , 丝光烧毛厂家 , 竹纤维纱 , 精梳棉纱 , 长绒棉丝光纱 , 丝光棉绞纱染色 , 丝光烧毛纱 , 丝光加工 , 烧毛丝光本白纱 , 全棉色纱 , 有机棉纱 , 全棉麻灰纱 , 全棉色纺纱 , 针织 ",毕嫦娟,15212383712,,,573158756@qq.com,2002年07月15日,,,,芜湖企业网 鸠江区 鸠江区经济技术开发区,"法人名称：芜湖富春染织股份有限公司主要经营产品：全棉筒子色纱 , 丝光棉 , 合股棉纱 , 染纱厂 , 双股棉纱 , 丝光烧毛厂家 , 竹纤维纱 , 精梳棉纱 , 长绒棉丝光纱 , 丝光棉绞纱染色 , 丝光烧毛纱 , 丝光加工 , 烧毛丝光本白纱 , 全棉色纱 , 有机棉纱 , 全棉麻灰纱 , 全棉色纺纱 , 针织 经营范围：丝、纱、线漂染加工，袜子制造，丝、纱、线销售，自营和代理各类商品及技术的进出口业务（国家限定公司经营或禁止进出口的商品及技术除外），农副产品附属品（稻壳）收购。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：913402007408704905发证机关：芜湖市工商行政管理局经营状态：存续（在营、开业、在册）经营模式：生产厂家成立时间：2002年07月15日职员人数：1000人注册资本：5 (万元)所属分类：纺纱加工公司所属城市：芜湖企业网 鸠江区 鸠江区经济技术开发区类型：其他股份有限公司(非上市)顺企编码：51998300商铺：http://51998300.b2b.11467.com/",,,https://www.11467.com/qiye/51998300.htm
江阴市安文娜贸易有限公司,无锡 江阴市云亭街道花山工业区薛家村315-3,(0510),"芳纶无纺布 , 预氧丝无纺布 , 夜光纱线 , 预氧丝纱线 , 芳纶布 , 反光纱线 , 反光织带 , 反光丝 , 弹力反光布 , 3m保温棉 , 3m反光布 ",缪玲,18118867896,,,2230371311@qq.com,,,,,,"法人名称：江阴市安文娜贸易有限公司主要经营产品：芳纶无纺布 , 预氧丝无纺布 , 夜光纱线 , 预氧丝纱线 , 芳纶布 , 反光纱线 , 反光织带 , 反光丝 , 弹力反光布 , 3m保温棉 , 3m反光布 经营状态：在业所属分类：其他服装辅料公司所属城市：无锡企业网顺企编码：95826540商铺：http://95826540.b2b.11467.com/",,,https://www.11467.com/qiye/95826540.htm
安平县以勒丝网制品有限公司,衡水 安平县台城村北20米处 - ,0318-5182037,"聚四氟乙烯过滤网 , PTFE过滤网 , 聚四氟乙烯筛网 , 聚四氟乙烯滤布 , 聚四氟乙烯汽液过滤网 , 聚四氟乙烯丝网除沫器 ,  , PVDF丝网除沫器 , ETFE丝网除沫器 , 不锈钢汽液过滤网 , 不锈钢丝网除沫器 , PP汽液过滤 ",梅卓,15631811857,,,842489754@qq.com,存续（在营、开业、在册）,,,,http://www.cnswapyl.com,"法人名称：安平县以勒丝网制品有限公司主要经营产品：聚四氟乙烯过滤网 , PTFE过滤网 , 聚四氟乙烯筛网 , 聚四氟乙烯滤布 , 聚四氟乙烯汽液过滤网 , 聚四氟乙烯丝网除沫器 ,  , PVDF丝网除沫器 , ETFE丝网除沫器 , 不锈钢汽液过滤网 , 不锈钢丝网除沫器 , PP汽液过滤 经营范围：PTFE聚四氟乙烯过滤网|PVDF过滤网|PP丝网除雾器|304/316L不锈钢丝网除沫器|丝网填料|混床中排网套  |空调网|气液过滤网|锦纶网|尼龙网|防虫网|涤纶网|过滤袋|纯镍网|黄铜网|不锈钢网|PTFE绳子|药筛  网|塑料平网|希贵金属网|窗纱|滤布|养殖网|玻璃纤维网格布|钢板网|荷兰网|金属丝网|塑料网营业执照号码：131125000038306发证机关：衡水市安平县工商行政管理局核准日期：2016-08-09经营期限：10年经营状态：存续（在营、开业、在册）经营模式：无成立时间：2013年09月09日注册资本：50 (万元)公司官网：http://www.cnswapyl.com所属分类：滤网公司所属城市：衡水企业网 桃城区 桃城区开发区类型：有限责任公司(自然人独资)顺企编码：5155128商铺：http://hengshui033778.11467.com/",,,https://www.11467.com/hengshui/co/33778.htm
济南天谊纺贸易有限公司,山东省济南市天桥区标山南路4号凤凰山国际名酒文化城1125,15910095652,瑞士布雷克尼龙钩 瑞士布雷克钢丝圈 美国UNILUX频闪仪 锭子,郭红艳,15910095652,,,superghy@163.com,2016年06月16日,,,,纺织设备和器材公司,法人名称：济南天谊纺贸易有限公司主要经营产品：瑞士布雷克尼龙钩 瑞士布雷克钢丝圈 美国UNILUX频闪仪 锭子经营范围：纺织机械及配件的批发、零售；环保设备的技术开发、技术服务、技术转让、技术咨询；合同能源管理；环保工程；环保设备安装；化工产品（不含危险化学品及易制毒化学品）、橡胶制品、塑料制品、仪器仪表、电子产品、照明器材、金属材料、电源设备、电线电缆、电动工具、电气设备、五金工具、家用电器、计算机及配件、办公设备...营业执照号码：370105200246333发证机关：济南市天桥区市场监督管理局经营状态：在营经营模式：销售成立时间：2016年06月16日职员人数：5人注册资本：500 (万元)公司官网：https://www.fzpeijian.com所属分类：纺织设备和器材公司所属城市：济南企业网 天桥区 类型：有限责任公司(自然人投资或控股)顺企编码：26374831商铺：http://jinan0157605.11467.com/,,,https://www.11467.com/jinan/co/157605.htm
青岛新天成纺织有限公司,青岛 青岛市城阳区上马镇小荒村西,13791979893,"缝纫线 , 涤纶纱 ,  棉纱 ",王志新 ,13791979893,,,wang@xintiancheng.com,生产厂家,,,,纺纱加工公司,"法人名称：青岛新天成纺织有限公司主要经营产品：缝纫线 , 涤纶纱 ,  棉纱 经营范围：棉纱、棉布、针棉制品制造；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外（以上范围需经许可经营的，须凭许可证经营）。营业执照号码：370214018004178发证机关：青岛市城阳区工商行政管理局核准日期：2006-05-29经营状态：在营经营模式：生产厂家成立时间：1997年05月09日职员人数：201人注册资本：人民币320万 (万元)所属分类：纺纱加工公司所属城市：青岛企业网 城阳区 城阳区上马类型：有限责任公司(自然人投资或控股)顺企编码：9470370商铺：http://qingdao080004.11467.com/",,,https://www.11467.com/qingdao/co/80004.htm
江苏通海线业有限公司,南通 海安县墩头镇长乐西路11号,0513-88463090,"缝包线 ,  ,  , 缝纫线坏线 , 大中小涤纶纱 ",顾华来,13862718197,,,13962789999@163.com,在业,,,,南通企业网 海安县 海安县海安镇,"法人名称：江苏通海线业有限公司主要经营产品：缝包线 ,  ,  , 缝纫线坏线 , 大中小涤纶纱 经营范围：纺丝；纺纱；捻线;本公司生产的产品出口，本公司生产所需的原辅材料、机械设备及零配件和技术的进口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：91320621744809048F发证机关：海安县市场监督管理局核准日期：2016-04-26经营期限：10年经营状态：在业成立时间：2002年11月26日注册资本：人民币1000 万元 (万元)所属分类：纱线公司所属城市：南通企业网 海安县 海安县海安镇类型：有限责任公司顺企编码：8715232商铺：http://nantong0138809.11467.com/",,,https://www.11467.com/nantong/co/138809.htm
东莞市衣美服装辅料有限公司,广东东莞虎门博美布料辅料商贸中心,0769-81911806,"各种花边 , 织带 , 松紧带 , 缝纫线 , 拉链。 ",陆小姐,15876956880,,,286238928@qq.com,服装辅料公司,,,,,"法人名称：东莞市衣美服装辅料有限公司主要经营产品：各种花边 , 织带 , 松紧带 , 缝纫线 , 拉链。 经营状态：在业成立时间：2008年08月20日职员人数：66人注册资本：50万 (万元)公司官网：http://yimacc.com/所属分类：服装辅料公司所属城市：东莞企业网顺企编码：40622",,,https://www.11467.com/dongguan/co/410354.htm
深圳市松岗世纪友信制线设备厂,深圳 深圳市宝安区松岗街道松涛社区华松工业园4栋2楼,86-075581766066,"缝纫线单条线热拉伸定型机 ,  批发特殊夜光线 , 导电线 , 防静电线 , 拉伸机 , 过蜡机 , 代加工高档线 ",世纪友信制线设备,13510448059,,,518000,生产加工,,,,深圳企业网 宝安区 宝安区松岗,"法人名称：深圳市松岗世纪友信制线设备厂主要经营产品：缝纫线单条线热拉伸定型机 ,  批发特殊夜光线 , 导电线 , 防静电线 , 拉伸机 , 过蜡机 , 代加工高档线 经营范围：纺织设备及配件、五金制品、缝纫线的零售。零售营业执照号码：440306808574483发证机关：深圳市市场监督管理局核准日期：2014-09-29经营状态：存续经营模式：生产加工成立时间：2013年01月24日职员人数：5人所属分类：纺织、皮革制品代理加盟公司所属城市：深圳企业网 宝安区 宝安区松岗类型：个体工商户顺企编码：21306345商铺：http://shenzhen0953928.11467.com/",,,https://www.11467.com/shenzhen/co/953928.htm
