公司名,联系人,电话,地址,城市,qq,微信,邮箱,_url
山东恒基工程材料有限公司,王敏,18253885379,山东省泰安市泰山区年华南街108号,"1年
山东省泰安市",1976626138,同手机号,1341197056@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fwww.51sole.com%2Ftp%2F258916260.htm%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=31144695&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=5a852e0d65a78bfdb5f38a5eb4049742
安平县阔洋土工材料有限公司,,,,,,,,http://www.apkuoyang.com/index.php/list/37?bd_vid=7175100570456185040
德州森泰环保科技有限公司,李经理,13255342222,德州市陵城区经济开发区迎宾街,1年 山东德州,1401116855,-,1401116855@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fwww.qianyuwang.com%2Foffer%2F335603245.html%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=30381890&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=f4cdb9fcf3c6c79cb23d13a2174c5ab9
临沂市鎏金节能材料有限公司,李仲康,15020399397,山东省临沂市罗庄区盛庄街道办事处国际工业品采购中心A区5号楼4、5号,1年 山东临沂,2724131431,18764986106,test@hc360.com,https://b2b.baidu.com/land?url=https%3A%2F%2Fb2b.hc360.com%2Fsupplyself%2F748106861.html%3Fconfr%3DB12%26bdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=31011370&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=320d2f9466e07e70917ca91873f69d7e
山东鑫宇土工材料工程有限公司,,,,,,,,http://www.tgclw.com.cn/
泰安市岱岳区领航工程材料有限公司,张涛,15605385196,山东省泰安市岱岳区容大路/金牛山路(路口),"1年
山东省泰安市",2985424496,15605385196,2985424496@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fwww.51sole.com%2Ftp%2F274650926.htm%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=31869319&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=5ef628713bf945a02cfee898a2827c37
山东东瑞土工材料有限公司,李经理,15564436447,山东德州,2年 山东德州,345293262,17667355775,2934697978@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fwww.qianyuwang.com%2Foffer%2F305012235.html%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=27640612&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=d23cbd515cabf1f48053fe12ec3f4cfd
宏祥新材料股份有限公司,徐立红,15726095281,山东省德州,3年 山东德州,-,15726095281,503309222@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Ftugongbu.cailiao.com%2Fsupply%2F13285475.html%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=27570292&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=10f4ac467ddfa5df042bc18b73dd401b
泰安市鹏跃工程材料有限公司,马文智,15605482118,山东省泰安,"2年
山东泰安",-,-,test@hc360.com,https://b2b.baidu.com/land?url=https%3A%2F%2Fb2b.hc360.com%2Fsupplyself%2F742631138.html%3Fconfr%3DB12%26bdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=28184480&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E7%AE%A1%E9%81%93%E7%B3%BB%E7%BB%9F%3B%E6%8E%92%E6%B0%B4%E7%B3%BB%E7%BB%9F&fid=0%2C1615423114181&iid=d54c637c68b853439922ee1ff7763aaf
德州铭昊土工材料有限公司,侯殿章,18888202085,山东省德州市陵城区边临镇工业园,1年 山东德州,-,-,1184755795@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fcaigou.shangzhixin.com%2Fsell%2Fshow.php%3Fitemid%3D304434%26bdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=32266398&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=90116f1c6eb880fcc66fc38968b73d2b
泰安市鼎诺土工材料有限公司,王经理,15153880002,宁阳县京福高速公路磁窑出口西(高新技术开发区),"1年
山东泰安",1090252568,-,1090252568@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fwww.51sole.com%2Ftp%2F245929510.htm%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=31049170&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=fa0374c8ab5018d3ced3422e3a0667f9
德州杰明土工材料有限公司,王总,18053447787,德州市陵城区经济开发区扶丰街南段,2年 山东德州,810088318,w352739066,810088318@qq.com,https://b2b.baidu.com/land?url=http%3A%2F%2Fwww.qianyuwang.com%2Foffer%2F325342564.html%3Fbdb2b8a2d%3D4107209838437553450&query=%E5%9C%9F%E5%B7%A5%E5%B8%83&lattr=&xzhid=29455768&pi=b2b.s&category=%E5%BB%BA%E6%9D%90%E5%AE%B6%E8%A3%85%3B%E8%AE%BE%E6%96%BD%E5%8F%8A%E6%96%BD%E5%B7%A5%E6%9D%90%E6%96%99%3B%E5%9C%9F%E5%B7%A5%E5%B8%83&fid=0%2C1615423114181&iid=12e4373d0b0700f3c52e8180fd0da820
