公司名,地址,固定电话,主营产品,客户,手机号,公司网站,公司简介,电子邮箱,经营模式,企业类型,城市,公司规模,注册资本,详细信息,来源网站,记录时间,_url
深圳市福田区科启达电子商行,深圳 深圳市福田区中航路国利大厦1607,0755-83298239,回收工厂电子料 回收电子元器件 IC 二三极管等 回收电子呆料  电子元件 内存 芯片 晶振 电容电阻  连接器 继电器 传感器 滤波器 模块 字库 集成电路,陈姐,13824335470,,,kqddz@163.com,http://www.kqddz.com,,,,http://shenzhen01037411.11467.com/,法人名称：深圳市福田区科启达电子商行主要经营产品：回收工厂电子料 回收电子元器件 IC 二三极管等 回收电子呆料  电子元件 内存 芯片 晶振 电容电阻  连接器 继电器 传感器 滤波器 模块 字库 集成电路经营范围：电子元器件及组件营业执照号码：440304806342039经营状态：在业职员人数：2人注册资本：10 (万元)单位官网：http://www.kqddz.com所属分类：电子项目合作公司所属城市：深圳企业网 福田区 福田区福田顺企编码：22645261商铺：http://shenzhen01037411.11467.com/,,,https://www.11467.com/shenzhen/co/1037411.htm
潍坊天元防水材料有限公司寿光分公司,潍坊 寿光市台头镇工业园区 - ,0536-18653654914,"销售sbs防水卷材 , 自粘聚合物改性沥青防水卷材 , 聚乙烯丙涤纶高分子复合防水卷材 , PVC , tpo ",李女士,18653654914,,,961918948@qq.com,2014年12月22日,,,,有限责任公司分公司(自然人投资或控股),"法人名称：潍坊天元防水材料有限公司寿光分公司主要经营产品：销售sbs防水卷材 , 自粘聚合物改性沥青防水卷材 , 聚乙烯丙涤纶高分子复合防水卷材 , PVC , tpo 经营范围：销售：防水材料（不含纸胎油毡）(依法须经批准的项目，经相关部门批准后方可开展经营活动)***发证机关：寿光市市场监督管理局核准日期：2016-01-12经营状态：在营（开业）企业经营模式：生产销售成立时间：2014年12月22日职员人数：1人所属分类：防水、防潮材料公司所属城市：潍坊企业网 寿光市 寿光市台头镇类型：有限责任公司分公司(自然人投资或控股)顺企编码：28988489商铺：http://weifang0177138.11467.com/",,,https://www.11467.com/weifang/co/177138.htm
重庆达标电子科技有限公司,重庆 重庆荣昌县板桥工业园区 - ,023-63607516,二极管 整流桥 电解电容 涤纶电容 蜂鸣器 变压器,蔡谷咀,17782330157,,,2435140464@qq.com,生产,,,,重庆企业网 酉阳 酉阳板桥乡,法人名称：重庆达标电子科技有限公司主要经营产品：二极管 整流桥 电解电容 涤纶电容 蜂鸣器 变压器经营范围：生产、销售：电子元器件、汽车零部件、摩托车零部件、节能灯及灯具、镇流器、五金、塑料制品、化工仪表仪器[法律法规禁止的不得经营；法律法规规定需前置审批的，取得审批后方可经营]★★★★★营业执照号码：91500226699278881H发证机关：重庆市工商行政管理局荣昌区分局核准日期：2016-05-30经营状态：存续（在营、开业、在册）经营模式：生产成立时间：2010年01月05日注册资本：600 (万元)所属分类：电子元件公司所属城市：重庆企业网 酉阳 酉阳板桥乡类型：有限责任公司顺企编码：18967928商铺：http://chongqing0114046.11467.com/,,,https://www.11467.com/chongqing/co/114046.htm
四平市旭晨胶带有限公司,吉林 四平市红嘴高新技术开发区新科路,0434-3260717,"煤矿用整芯阻燃输送带 , 输送带用整体带芯 , 输送带 , 钢丝绳芯输送带 , 塑钢打包带 , 涤纶纤维制造 , 纺织袋帘子布制造 , 橡胶板制造 , 橡胶带制造 , 橡胶管制造 , 橡胶型材制造 , 人字花纹行输送带 ",李鑫,未提供,,,spxcjd@163.com,存续（在营、开业、在册）,,,,6365万元人民币 (万元),"法人名称：四平市旭晨胶带有限公司主要经营产品：煤矿用整芯阻燃输送带 , 输送带用整体带芯 , 输送带 , 钢丝绳芯输送带 , 塑钢打包带 , 涤纶纤维制造 , 纺织袋帘子布制造 , 橡胶板制造 , 橡胶带制造 , 橡胶管制造 , 橡胶型材制造 , 人字花纹行输送带 经营范围：纺织带帘子布制造；橡胶板、管、带的制造；塑料板、管、型材制造；货物进出口（无进口商品分销业务）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：220395000003196发证机关：四平市工商行政管理局四平红嘴高新技术开发区分局核准日期：2016-06-14经营期限：10年经营状态：存续（在营、开业、在册）经营模式：无成立时间：2011年05月04日职员人数：501人注册资本：6365万元人民币 (万元)所属分类：胶带公司所属城市：吉林企业网类型：有限责任公司(自然人投资或控股)顺企编码：6229571商铺：http://jilinshi096482.11467.com/",,,https://www.11467.com/jilinshi/co/96482.htm
洪泽联合化纤有限公司,淮安 洪泽经济开发区巢湖东路25号,18261549882,"PBT高弹丝 , 再生涤纶DTY , 阳离子 , 复合纤维 , 涤纶细旦多孔纤维 ",赵经理,18261549882,,,1154165365@qq.com,在业,,,,http://www.lianhetex.com,"法人名称：洪泽联合化纤有限公司主要经营产品：PBT高弹丝 , 再生涤纶DTY , 阳离子 , 复合纤维 , 涤纶细旦多孔纤维 经营范围：涤纶长丝生产与销售，纺织原料、纺织品、纺织辅料销售，纺织机械设备租赁、销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：91320829693301286Q发证机关：淮安市洪泽区市场监督管理局核准日期：2012-11-12经营期限：10年经营状态：在业经营模式：生产加工成立时间：2009年07月30日注册资本：200 (万元)公司官网：http://www.lianhetex.com所属分类：化学纤维公司所属城市：淮安企业网 涟水县 涟水县经济开发区类型：有限责任公司顺企编码：5312227商铺：http://huaian052057.11467.com/",,,https://www.11467.com/huaian/co/52057.htm
苏州利新泽电子科技有限公司,苏州 苏州吴中经济开发区城南街道东吴南路125号3幢1607室,0512-66019519,"铝电解电容 , 薄膜电容 , 涤纶电容 , 电阻 ",张涛,18015567825,,,2736236336@qq.com,在业,,,,100万元人民币 (万元),"法人名称：苏州利新泽电子科技有限公司主要经营产品：铝电解电容 , 薄膜电容 , 涤纶电容 , 电阻 经营范围：研发、销售：电子元器件、塑料制品、机电设备、锂电池零配件、五金、机械零部件、电线电缆。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：913205060662200737发证机关：苏州市吴中区市场监督管理局核准日期：2016-06-08经营期限：10年经营状态：在业经营模式：生产，批发成立时间：2013年04月11日职员人数：50人注册资本：100万元人民币 (万元)公司官网：http://www.lxzec.com所属分类：铝电解电容器公司所属城市：苏州企业网 太仓市 太仓市经济开发区类型：有限责任公司顺企编码：28921470商铺：http://suzhou0404306.11467.com/",,,https://www.11467.com/suzhou/co/404306.htm
江苏金发化纤设备有限公司,江苏镇江句容郭庄镇端王村1号 - ,13901594415,"化纤生产线 , 化纤设备单机 , 化学纤维短纤设备 ",陈经理,13901594415,,,85817332@qq.com,在业,,,,纺织设备和器材公司,"法人名称：江苏金发化纤设备有限公司主要经营产品：化纤生产线 , 化纤设备单机 , 化学纤维短纤设备 经营范围：化纤机械设备及配件制造、销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；各种差别化、功能化化学纤维、高技术纤维生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：91321183755053450R发证机关：句容市市场监督管理局核准日期：2016-03-02经营期限：10年经营状态：在业成立时间：2003年10月28日职员人数：8人注册资本：400万元人民币 (万元)所属分类：纺织设备和器材公司所属城市：镇江企业网 句容市 句容市郭庄镇类型：有限责任公司顺企编码：16214819商铺：http://zhenjiang034307.11467.com/",,,https://www.11467.com/zhenjiang/co/34307.htm
扬州恒信无纺制品有限公司,扬州 扬州市化学工业园区韩海路1号（仪征市区西）,0514-83290656,"针刺无纺布 , 生态袋 , 草坪基布 , 土工布 , 绿色生态袋 , 丙纶针刺无纺布 , 涤纶针刺无纺布 , 沙罗布 , 网眼布 , 植生袋 , 黑色生态袋 , 丙纶生态袋 , 涤纶生态袋 , 编织布 , 丙纶土工布 , 涤纶土工布 , 排水板无纺布 , 聚丙烯布 , 大棚保温无纺布 ",谢洋,13511722088,,,yzhxwf@126.com,在业,,,,扬州企业网 仪征市 ,"法人名称：扬州恒信无纺制品有限公司主要经营产品：针刺无纺布 , 生态袋 , 草坪基布 , 土工布 , 绿色生态袋 , 丙纶针刺无纺布 , 涤纶针刺无纺布 , 沙罗布 , 网眼布 , 植生袋 , 黑色生态袋 , 丙纶生态袋 , 涤纶生态袋 , 编织布 , 丙纶土工布 , 涤纶土工布 , 排水板无纺布 , 聚丙烯布 , 大棚保温无纺布 经营范围：无纺布、土工合成材料、纺织品制造、销售；无纺制品销售；自营和代理各种商品的进出口业务（国家限定企业经营或禁止进出口的商品除外）。（依法须经批准的项目，经相关部门批准的方可开展经营活动）营业执照号码：9132108169787740XN发证机关：仪征市市场监督管理局核准日期：2016-04-14经营期限：10年经营状态：在业成立时间：2009年11月27日职员人数：51人所属分类：无纺布厂黄页所属城市：扬州企业网 仪征市 类型：有限责任公司顺企编码：14869923商铺：http://yangzhou0108927.11467.com/",,,https://www.11467.com/yangzhou/co/108927.htm
石家庄不干胶标签印刷,河北省石家庄市上庄工业园 - ,0311-89642559,"石家庄不干胶印刷 , 拉丝金印刷 , 刮刮卡印刷 , 激光防伪标印刷 , 金涤纶印刷 , 合格证印刷 ",杨先生,13739710130,,,yangfan1799@163.com,75601,,,,,"法人名称：石家庄不干胶标签印刷主要经营产品：石家庄不干胶印刷 , 拉丝金印刷 , 刮刮卡印刷 , 激光防伪标印刷 , 金涤纶印刷 , 合格证印刷 经营状态：在业成立时间：2008年08月01日注册资本：50万 (万元)所属分类：其他生活印刷加工公司所属城市：石家庄企业网 鹿泉市 鹿泉市上庄镇顺企编码：75601商铺：http://shijiazhuang0108367.11467.com/",,,https://www.11467.com/shijiazhuang/co/108367.htm
仪征市东南化纤原料有限公司,扬州 江苏省仪征市仪征化纤浦东路36号,13905253709,"化纤原料 , 化工原料 , 涤纶纤维 , 聚酯切片 , 纺织品 , 中空纤维 ",费经理,13905253709,,,841048242@qq.com,2006年08月24日,,,,有限责任公司,"法人名称：仪征市东南化纤原料有限公司主要经营产品：化纤原料 , 化工原料 , 涤纶纤维 , 聚酯切片 , 纺织品 , 中空纤维 经营范围：化纤原料,化工原料,涤纶纤维,聚酯切片，纺织品，五金工具，机电产品，水暖器材，建材销售。营业执照号码：91321081791971574K发证机关：仪征市市场监督管理局核准日期：2016-07-08经营状态：在业成立时间：2006年08月24日职员人数：11人所属分类：化学纤维公司所属城市：扬州企业网 仪征市 类型：有限责任公司顺企编码：14895652商铺：http://yangzhou0108984.11467.com/",,,https://www.11467.com/yangzhou/co/108984.htm
