公司名,地址,固定电话,主营产品,客户,手机号,公司网站,公司简介,电子邮箱,经营模式,企业类型,城市,公司规模,注册资本,详细信息,来源网站,记录时间,_url
深圳科士达科技股份有限公司,深圳 深圳市南山区高新北区科技中二路软件园1栋4楼401、402室（仅限办公）,13818734194,"深圳科士达 , 科士达UPS电源 , 科士达UPS , 科士达蓄电池 , 科士达官网 , 深圳科士达电源 , 科士达电源官网 ",刘工,13818734194,,,zhaopin@kstar.com.cn,生产销售,,,,http://www.kstar.com.cn,"法人名称：深圳科士达科技股份有限公司主要经营产品：深圳科士达 , 科士达UPS电源 , 科士达UPS , 科士达蓄电池 , 科士达官网 , 深圳科士达电源 , 科士达电源官网 经营范围：软件开发、销售及相关技术服务（不含限制项目）；自有物业租赁；设备租赁（不含融资租赁）；蓄电池销售（不含限制项目）；国内商业、物资供销业（不含专营、专控、专卖商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。UPS不间断电源、逆变电源、ＥＰＳ应急电源、...营业执照号码：914403007271508191发证机关：深圳市市场监督管理局核准日期：2016-05-24经营状态：存续经营模式：生产销售成立时间：1993年03月17日职员人数：1000人注册资本：44540 (万元)公司官网：http://www.kstar.com.cn所属分类：线槽公司所属城市：深圳企业网 南山区 南山区南山类型：上市股份有限公司顺企编码：10653373商铺：http://shenzhen0131756.11467.com/",,,https://www.11467.com/shenzhen/co/131756.htm
长沙建宇网印机电设备有限公司,长沙 经济技术开发区榔梨街道中国工程机械产业园7号厂区,0731-85263328,"长沙建宇网印工厂专业生产厚膜印刷机 , 丝网印刷机 , 网印机 , 丝印机等各类印刷机 ",肖辉,13308499980,,,3113856230@qq.com,存续（在营、开业、在册）,,,,100 (万元),"法人名称：长沙建宇网印机电设备有限公司主要经营产品：长沙建宇网印工厂专业生产厚膜印刷机 , 丝网印刷机 , 网印机 , 丝印机等各类印刷机 经营范围：机电设备销售；印刷机械、印刷材料的销售、生产（限分支机构经营）。（涉及行政许可的凭许可证经营）营业执照号码：430102000109167发证机关：长沙市工商行政管理局芙蓉分局核准日期：2010-06-09经营期限：10年经营状态：存续（在营、开业、在册）经营模式：生产加工成立时间：2010年06月09日职员人数：50人注册资本：100 (万元)所属分类：丝印机公司所属城市：长沙企业网 长沙县 类型：有限责任公司(自然人投资或控股)顺企编码：65024商铺：http://changsha0104132.11467.com/",,,https://www.11467.com/changsha/co/104132.htm
安徽古家百年酒业有限公司,安徽省亳州市谯城区古井镇 - ,18805671390,"白酒定制 , 白酒贴牌 , 白酒代加工 , 白酒贴牌定制 ",黄总,18805671390,,,330621333@qq.com,存续（在营、开业、在册）,,,,酒类公司,"法人名称：安徽古家百年酒业有限公司主要经营产品：白酒定制 , 白酒贴牌 , 白酒代加工 , 白酒贴牌定制 经营范围：白酒制造销售。营业执照号码：91341600748907139B发证机关：亳州市工商行政管理局核准日期：2015-07-09经营期限：10年经营状态：存续（在营、开业、在册）成立时间：2003年04月04日注册资本：800 (万元)公司官网：http：//www.gjbn188.com所属分类：酒类公司所属城市：亳州企业网 谯城区 谯城区古井镇类型：有限责任公司(自然人独资)顺企编码：29663332商铺：http://29663332.b2b.11467.com/",,,https://www.11467.com/qiye/29663332.htm
张家口中科网安科技有限公司,河北省张家口市桥西区赐儿山街19号,0313-5928238,"网络安全设备 , 网络安全服务 , 信息安全保密产品 , 国产机 , 信息系统集成 ",江云,13910188468,,,gxqh_bj@163.com,张家口企业网,,,,,"法人名称：张家口中科网安科技有限公司主要经营产品：网络安全设备 , 网络安全服务 , 信息安全保密产品 , 国产机 , 信息系统集成 经营范围：计算机软硬件及网络设备的研发、安装、服务与维护；办公自动化设备及耗材销售、维护、租赁；综合布线；数码产品、仪器仪表、通讯设备、电子产品、机房设备、计算机及配件、文具用品、日用百货、五金产品、计算机、软件及辅助设备、安防技术防范系统工程的设计施工；网络工程、楼宇智能化工程、机房工程施工；计算机软件技术转让、技术推广、技术咨询服务；计算机系统集成服务等。经营状态：在业注册资本：1000 (万元)公司官网：http://www.zjkzkwa.com所属分类：防火墙公司所属城市：张家口企业网顺企编码：95716944商铺：http://95716944.b2b.11467.com/",,,https://www.11467.com/qiye/95716944.htm
安平县杰昌丝网制品有限公司,中国 河北 衡水 安平县 建赵庄村北大堤南边 ,18731868627,"护栏网 , 铜网 , 蒙乃尔丝网 , 哈氏合金丝网 , 双相不锈钢丝网 , 电焊网 , 荷兰网 , 测试筛 , 网格布 , 丝网深加工 ",赵媛,18731868627,,,596693437@qq.com,存续（在营、开业、在册）,,,,100 (万元),"法人名称：安平县杰昌丝网制品有限公司主要经营产品：护栏网 , 铜网 , 蒙乃尔丝网 , 哈氏合金丝网 , 双相不锈钢丝网 , 电焊网 , 荷兰网 , 测试筛 , 网格布 , 丝网深加工 经营范围：生产、销售：金属丝网（稀有金属除外）、塑料网、乙烯网、不锈钢网、护栏网、网格布、丝网深加工产品及进出口业务。（以上经营范围涉及许可经营项目的，应在取得有关部门的许可后方可经营）营业执照号码：131125000050087发证机关：衡水市安平县工商行政管理局核准日期：2014-04-01经营期限：10年经营状态：存续（在营、开业、在册）经营模式：生产厂家成立时间：2014年04月01日职员人数：11人注册资本：100 (万元)所属分类：金属丝网公司所属城市：衡水企业网 安平县 安平县安平镇类型：有限责任公司(自然人独资)顺企编码：23701690商铺：http://hengshui070733.11467.com/",,,https://www.11467.com/hengshui/co/70733.htm
山东金冠网具有限公司,滨州 惠民县李庄镇驻地 - ,86-5435838102,"遮阳网 , 安全网 , 安全平网 ",刘秀慧,18265781288,,,sdjgrz@163.com,生产加工,,,,http://www.bzjinguan,"法人名称：山东金冠网具有限公司主要经营产品：遮阳网 , 安全网 , 安全平网 经营范围：生产销售：安全网（1、平网，P-3x6;2、密目式安全立网，ML-1.8x6）、运输网、养殖网、封垛网、吊装网、遮阳网、体育项目用网、体育器材及配件、运动用球类器材及器械；塑料制品、化纤制品的销售；纺织品批发；备案范围内的进出口业务（需要国家专项审批的项目除外）。（依法须经批准的项目，经相关部门批准后方可开展经营...营业执照号码：371621228005778发证机关：惠民县工商行政管理局核准日期：2000-08-18经营状态：在营经营模式：生产加工成立时间：2000年08月18日职员人数：100人注册资本：0万元 (万元)公司官网：http://www.bzjinguan所属分类：塑料网公司所属城市：滨州企业网 惠民县 惠民县李庄镇类型：有限责任公司(自然人独资)顺企编码：785129",,,https://www.11467.com/binzhou/co/23517.htm
长沙千视电子科技有限公司,长沙 长沙市雨花区环保中路188号13栋703,0731-82525732,"sdi编码器 , hdmi编码器 , vga编码器 , hdmi 4G无线编码器 ,  无线有线视频网关 , 高清视频解码器。sdi转hdmi vga cvbs转换器 ",尹小姐,18573192787,,,xiaoxue@kiloview.com,存续（在营、开业、在册）,,,,200 (万元),"法人名称：长沙千视电子科技有限公司主要经营产品：sdi编码器 , hdmi编码器 , vga编码器 , hdmi 4G无线编码器 ,  无线有线视频网关 , 高清视频解码器。sdi转hdmi vga cvbs转换器 经营范围：电子产品研发；电子、通信与自动控制技术研发；软件开发；软件技术服务；信息技术咨询服务；信息系统集成服务；计算机技术开发、技术服务；互联网信息服务；视听设备、计算机的制造（限分支机构）；计算机软件、监控设备、计算机的销售；电子产品、通讯及广播电视设备、计算机零配件、办公设备耗材的批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：430111000118571发证机关：长沙市工商行政管理局雨花分局核准日期：2015-07-28经营期限：10年经营状态：存续（在营、开业、在册）经营模式：生产加工成立时间：2011年04月14日职员人数：200人注册资本：200 (万元)公司官网：http://www.kiloview.com所属分类：播出、前端设备公司所属城市：长沙企业网 雨花区 类型：有限责任公司(自然人投资或控股)顺企编码：1171630商铺：http://changsha0119189.11467.com/",,,https://www.11467.com/changsha/co/119189.htm
郑州管交网电子商务有限公司,郑州 新郑市孟庄镇洪府村北 - ,400-060-5287,"管道供应商品牌宣传 , 在线合作洽谈 , 交易担保 , 施工安装 , 金融服务 , 新行情资讯 , 管道招标 , 管道展会 ",管交网,18513999908,,,pipe0101@126.com,2015年07月31日,,,,管道系统公司,"法人名称：郑州管交网电子商务有限公司主要经营产品：管道供应商品牌宣传 , 在线合作洽谈 , 交易担保 , 施工安装 , 金融服务 , 新行情资讯 , 管道招标 , 管道展会 经营范围：电子商务；生产、销售塑胶制品、橡胶制品及模具；销售：塑料原料、塑胶型材、塑钢门窗、化工原料（易燃易爆与危险化学品除外）；水网安装、地板采暖安装；水电安装、维修。营业执照号码：9141010035342364X6发证机关：新郑市工商行政管理局核准日期：2016-07-01经营状态：存续（在营、开业、在册）成立时间：2015年07月31日职员人数：100人注册资本：1,000万元 (万元)公司官网：http://hx.pipe01.com/所属分类：管道系统公司所属城市：郑州企业网 新郑市 新郑市孟庄镇类型：其他有限责任公司顺企编码：23568823商铺：http://zhengzhou0225978.11467.com/",,,https://www.11467.com/zhengzhou/co/225978.htm
中国期刊采编网,湖北省武汉市武昌区中南路456号,027-83227427,"期刊 , 职称论文代写代发 ",姜老师,13264740424,,,978574391@qq.com,编辑制作设备公司,,,,,"法人名称：中国期刊采编网主要经营产品：期刊 , 职称论文代写代发 经营状态：在业成立时间：2009年05月12日职员人数：10人注册资本：50 (万元)单位官网：http://www.cnki-cb.org所属分类：编辑制作设备公司所属城市：武汉企业网 武昌区 武昌区中南路顺企编码：69083商铺：http://wuhan0117412.11467.com/",,,https://www.11467.com/wuhan/co/117412.htm
泉州市网销通网络技术有限公司,泉州 泉州市丰泽区兰台路玉祥大厦三楼,0595-28063320,"百度SEO , 网站推广SEO优化 , 网站制作 , 网站维护 , 金泉网站内推广 , 企业营销网站建设和免费管理网站等多个服务项目。 ",沈女士,18350794502,,,3350002665@qq.com,存续（在营、开业、在册）,,,,50万人民币 (万元),"法人名称：泉州市网销通网络技术有限公司主要经营产品：百度SEO , 网站推广SEO优化 , 网站制作 , 网站维护 , 金泉网站内推广 , 企业营销网站建设和免费管理网站等多个服务项目。 经营范围：计算机网络技术开发；网页设计；计算机软硬件的技术开发与销售；文化艺术交流活动策划；企业形象策划；图文设计制作。（依法须经批准的项目，经相关部门批准后方可开展经营活动）营业执照号码：9135050309138175XX发证机关：泉州市工商行政管理局丰泽分局核准日期：2016-02-23经营期限：10年经营状态：存续（在营、开业、在册）经营模式：服务成立时间：2014年02月17日职员人数：100人注册资本：50万人民币 (万元)所属分类：网页设计公司所属城市：泉州企业网 丰泽区 丰泽区丰泽类型：有限责任公司(自然人独资)顺企编码：23948947商铺：http://quanzhou0170210.11467.com/",,,https://www.11467.com/quanzhou/co/170210.htm
