公司名,地址,固定电话,主营产品,客户,手机号,公司网站,公司简介,电子邮箱,经营模式,企业类型,城市,公司规模,注册资本,详细信息,来源网站,记录时间,_url
襄阳市三胜膜结构工程有限公司,襄阳 襄阳市樊城区汉江路与建设路交汇口48-19,1507-2298567,"膜结构 , 钢结构 , 网架结构 , 膜结构景观工程 , 膜结构车棚 , 体育场看台 , 景观棚 , 污水池反吊膜 , 收费大棚 , 顶棚 ",王经理,15072298567,,,15072298567@163.com,1680 (万元),,,,http://xiangfan052715.11467.com/,"法人名称：襄阳市三胜膜结构工程有限公司主要经营产品：膜结构 , 钢结构 , 网架结构 , 膜结构景观工程 , 膜结构车棚 , 体育场看台 , 景观棚 , 污水池反吊膜 , 收费大棚 , 顶棚 经营范围：房屋建筑工程、钢结构工程、装饰工程、广告工程施工；体育设施、遮阳设施、膜结构工程、仓储设施的安装、维护及技术研发；高性能膜材料及配件销售。（依法须经批准的项目,经相关部门批准后方可开展经营活动）经营状态：在业经营模式：生产制作供应销售成立时间：2016年06月20日职员人数：89人注册资本：1680 (万元)所属分类：钢结构、膜结构公司所属城市：襄阳企业网 樊城区 顺企编码：26275308商铺：http://xiangfan052715.11467.com/",,,https://www.11467.com/xiangfan/co/52715.htm
宁津县天宇网带厂,山东省德州市宁津县宁津镇大祁村,13905440818,"饼干机网带 , 方便面机配件 , 热处理高温炉输送网带 , 冷冻食品输送网链 , 乙型网带 , 链条 , 饼干机帆布带 , 脱水蔬菜网链 , 清洗机械网链 , 退火炉网带 , 热处理网带 , 冶金矿产网带 , 转弯机网带 , 提升机网带 , 雪米饼机网带 ",祁天港,13905440818,,,13905440818@163.com,2013年11月26日,,,,个人独资企业,"法人名称：宁津县天宇网带厂主要经营产品：饼干机网带 , 方便面机配件 , 热处理高温炉输送网带 , 冷冻食品输送网链 , 乙型网带 , 链条 , 饼干机帆布带 , 脱水蔬菜网链 , 清洗机械网链 , 退火炉网带 , 热处理网带 , 冶金矿产网带 , 转弯机网带 , 提升机网带 , 雪米饼机网带 经营范围：网带、链条加工、销售。营业执照号码：371422300004998发证机关：宁津县工商行政管理局经营状态：在营经营模式：生产加工 [已实地认证]成立时间：2013年11月26日注册资本：0万元  (万元)所属分类：饼干机械公司所属城市：德州企业网 宁津县 宁津县宁津镇类型：个人独资企业顺企编码：2254898商铺：http://dezhou038436.11467.com/",,,https://www.11467.com/dezhou/co/38436.htm
郑州市金水区鼎盛文具商行,郑州 郑州市金水区信基建材家具城2057号,037186011055,"办公用品 ,  机具 , 会议用品 , 学生文具 ",李小峰,18638503071,,,officedingsheng@sina.com,5人,,,,个体工商户,"法人名称：郑州市金水区鼎盛文具商行主要经营产品：办公用品 ,  机具 , 会议用品 , 学生文具 经营范围：批发及零售：办公用品、体育用品、学生文具营业执照号码：410105600606874发证机关：郑州市工商行政管理局金水分局庙李工商所经营状态：存续（在营、开业、在册）成立时间：2011年04月20日职员人数：5人注册资本：25 (万元)所属分类：办公其他未分类公司所属城市：郑州企业网 金水区 类型：个体工商户顺企编码：20462821商铺：http://zhengzhou0207585.11467.com/",,,https://www.11467.com/zhengzhou/co/207585.htm
济南铭信商贸有限公司,济南 济南市山大路2号 - ,0531-86823187,"济南笔记本定做 , 济南保温杯定做 , 济南中性笔定做 , 济南记录本印刷 , 济南卡片优盘定做 ",彭经理,15866633417,,,famousgift@163.com,批发定做,,,,http://www.mingxinjingpin.com,"法人名称：济南铭信商贸有限公司主要经营产品：济南笔记本定做 , 济南保温杯定做 , 济南中性笔定做 , 济南记录本印刷 , 济南卡片优盘定做 经营范围：批发、零售：工艺美术品，办公用品，日用品，百货，展架，展台。(依法须经批准的项目，经相关部门批准后方可开展经营活动)发证机关：济南市历城区工商行政管理局核准日期：2016-08-03经营期限：10年经营状态：在营（开业）企业经营模式：批发定做成立时间：2008年03月20日职员人数：3人注册资本：5 (万元)公司官网：http://www.mingxinjingpin.com所属分类：办公文教公司所属城市：济南企业网 历城区 历城区山大路类型：有限责任公司(自然人投资或控股)顺企编码：6391786商铺：http://jinan0123350.11467.com/",,,https://www.11467.com/jinan/co/123350.htm
盐城市方舟环保设备有限公司,江苏省盐城市阜宁县经济开发区企业园,0515-87591288,"经营范围：滤袋 , 除尘布袋 , 涤纶针刺毡 , 防静电针刺毡 , 拒水防油涤纶针刺毡 , 混纺防静电针刺毡 , 三防针刺毡 , 玻璃纤维针刺毡 , QP52复合针刺毡PPS针刺毡 , P84针刺毡 , PTFE针刺毡 , 亚克力针刺毡 , 美塔斯 ",邵井铨,13851120006,,,jsfn@163.com,50人,,,,盐城企业网 建湖县 建湖县经济开发区,"法人名称：盐城市方舟环保设备有限公司主要经营产品：经营范围：滤袋 , 除尘布袋 , 涤纶针刺毡 , 防静电针刺毡 , 拒水防油涤纶针刺毡 , 混纺防静电针刺毡 , 三防针刺毡 , 玻璃纤维针刺毡 , QP52复合针刺毡PPS针刺毡 , P84针刺毡 , PTFE针刺毡 , 亚克力针刺毡 , 美塔斯 经营范围：许可经营项目：无。一般经营项目：环保专用设备（除尘器、除尘布袋及除尘器配件）制造、销售。营业执照号码：320923000059104经营状态：在业经营模式：无成立时间：2008年10月14日职员人数：50人注册资本：5000 (万元)公司官网：http://fn5188.cn.alibaba.com所属分类：滤袋公司所属城市：盐城企业网 建湖县 建湖县经济开发区顺企编码：64730商铺：http://yancheng060926.11467.com/",,,https://www.11467.com/yancheng/co/60926.htm
成都鑫永升泰建材销售有限公司,成都 武侯区一环路南一段5号附10号1层,(028),"雨篷 , 移动推拉蓬 , 可收缩遮阳蓬 , 活动蓬 , 停车棚 , 高端天幕蓬 ",黄宇兴,15982802686,,,1813517757@qq.com,,,,,,"法人名称：成都鑫永升泰建材销售有限公司主要经营产品：雨篷 , 移动推拉蓬 , 可收缩遮阳蓬 , 活动蓬 , 停车棚 , 高端天幕蓬 经营状态：在业所属分类：阳篷、雨篷公司所属城市：成都企业网顺企编码：94607849商铺：http://94607849.b2b.11467.com/",,,https://www.11467.com/qiye/94607849.htm
上海市捷盼会展服务中心,上海 上海市莲花南路1951号格兰大厦,021-61200951,"日本鞋展 , 华交会 , 日本箱包展 , 日本服装展 , 日本面料展 , 日本体育展 , 日本杂货展 , 日本玩具展 , 日本劳保展 , 日本五金展 ",周洋,15000762997,,,15000762997@vip.163.com,上海企业网,,,,,"法人名称：上海市捷盼会展服务中心主要经营产品：日本鞋展 , 华交会 , 日本箱包展 , 日本服装展 , 日本面料展 , 日本体育展 , 日本杂货展 , 日本玩具展 , 日本劳保展 , 日本五金展 经营范围：展览经营状态：在业经营模式：销售服务职员人数：20人所属分类：展览服务公司所属城市：上海企业网顺企编码：95809750商铺：http://95809750.b2b.11467.com/",,,https://www.11467.com/qiye/95809750.htm
上海福贸展览服务有限公司,杭州 上海市莲花南路1951号格兰大厦403,021-61200956,"华交会 , 日本礼品展 , 日本服鞋包展 , 日本园艺五金展 , 日本体育健身展 , 日本展览会 ",张鹏,15821106898,,,zpexpo@163.com,2008年07月02日,,,,综合类展会公司,"法人名称：上海福贸展览服务有限公司主要经营产品：华交会 , 日本礼品展 , 日本服鞋包展 , 日本园艺五金展 , 日本体育健身展 , 日本展览会 经营范围：展览会招展及会议组织营业执照号码：330105000050425发证机关：杭州市拱墅区市场监督管理局经营状态：存续经营模式：服务成立时间：2008年07月02日职员人数：80人注册资本：100 (万元)公司官网：http://www.shzpexpo.com所属分类：综合类展会公司所属城市：杭州企业网 拱墅区 拱墅区大关类型：私营有限责任公司(自然人控股或私营性质企业控股)顺企编码：4645623商铺：http://hangzhou0112819.11467.com/",,,https://www.11467.com/hangzhou/co/112819.htm
宁津县盛大网链有限公司,山东省德州市宁津县经济开发区 - ,0534-5533815,"输送设备 , 网带 , 链条 , 帆布带制造销售 ",刘女士,15166961823,,,2957946642@qq.com,德州企业网 宁津县 宁津县宁津镇,,,,,"法人名称：宁津县盛大网链有限公司主要经营产品：输送设备 , 网带 , 链条 , 帆布带制造销售 经营状态：在业成立时间：2010年05月20日注册资本：58 (万元)公司官网：http://www.njsdwl.com所属分类：传动带公司所属城市：德州企业网 宁津县 宁津县宁津镇顺企编码：20700196商铺：http://dezhou063955.11467.com/",,,https://www.11467.com/dezhou/co/63955.htm
乐陵市宏达帆布制品厂,德州 山东乐陵市寨头堡工业园 - ,86 0534 6708688/6708788,"箱包帆布 , 水洗帆布 , 染色帆布 , 帐篷布 , 门帘布 , 帐篷 , 防水帆布 , 防火帆布 , 服装帆布 , 鞋面布 , 涂塑布 , 有机硅 ",闫伟,未提供,,,253614,无纺布厂黄页,,,,,"法人名称：乐陵市宏达帆布制品厂主要经营产品：箱包帆布 , 水洗帆布 , 染色帆布 , 帐篷布 , 门帘布 , 帐篷 , 防水帆布 , 防火帆布 , 服装帆布 , 鞋面布 , 涂塑布 , 有机硅 经营范围：帆布、蓬盖布、涂塑布、塑料编织品加工销售营业执照号码：371481329000913经营状态：在业成立时间：2005年04月19日职员人数：101人所属分类：无纺布厂黄页所属城市：德州企业网 乐陵市 乐陵市寨头堡乡顺企编码：2254422商铺：http://dezhou059991.11467.com/",,,https://www.11467.com/dezhou/co/59991.htm
